class,nameafter,name,file,charge,baseformula,C,H,O,N,P,S,species-specific
10-HDoHE,m/z 325.2171,m/z 325.2171,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 299.2378,m/z 299.2378,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 281.2273,m/z 281.2273,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 227.1803,m/z 227.1803,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 181.0869,m/z 181.0869,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 161.1335,m/z 161.1335,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 153.0920,m/z 153.0920,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 121.0658,m/z 121.0658,%,-1,,0,0,0,0,0,0,0
10-HDoHE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 301.2172,m/z 301.2172,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 203.1804,m/z 203.1804,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 203.0789,m/z 203.0789,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 179.1076,m/z 179.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11(12)-EET,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 312.2862,m/z 312.2862,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 268.2963,m/z 268.2963,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 214.2494,m/z 214.2494,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 208.1103,m/z 208.1103,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 179.1076,m/z 179.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11(12)-EET{d11},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 319.2281,m/z 319.2281,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 197.1185,m/z 197.1185,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 169.1236,m/z 169.1236,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 167.1079,m/z 167.1079,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 149.0973,m/z 149.0973,%,-1,,0,0,0,0,0,0,0
"11,12-DHET",m/z 58.0057,m/z 58.0057,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 330.2971,m/z 330.2971,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 197.1185,m/z 197.1185,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 180.1926,m/z 180.1926,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 167.1079,m/z 167.1079,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 149.0973,m/z 149.0973,%,-1,,0,0,0,0,0,0,0
"11,12-DHET{d11}",m/z 58.0057,m/z 58.0057,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 325.2171,m/z 325.2171,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 299.2378,m/z 299.2378,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 281.2273,m/z 281.2273,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 194.0946,m/z 194.0946,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 165.0919,m/z 165.0919,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 149.1333,m/z 149.1333,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 121.1022,m/z 121.1022,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 95.0502,m/z 95.0502,%,-1,,0,0,0,0,0,0,0
11-HDoHE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 301.2173,m/z 301.2173,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 275.2377,m/z 275.2377,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 195.1025,m/z 195.1025,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 167.1076,m/z 167.1076,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 149.0970,m/z 149.0970,%,-1,,0,0,0,0,0,0,0
11-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 277.2168,m/z 277.2168,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 195.1390,m/z 195.1390,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 183.1389,m/z 183.1389,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 113.0971,m/z 113.0971,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 281.2419,m/z 281.2419,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 198.1578,m/z 198.1578,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 185.1515,m/z 185.1515,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 114.1034,m/z 114.1034,%,-1,,0,0,0,0,0,0,0
12(13)-EpOME{d4},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 299.2014,m/z 299.2014,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 273.2224,m/z 273.2224,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 255.2117,m/z 255.2117,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 208.1104,m/z 208.1104,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 179.1077,m/z 179.1077,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 163.1127,m/z 163.1127,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 135.1179,m/z 135.1179,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 107.0866,m/z 107.0866,%,-1,,0,0,0,0,0,0,0
12-HEPE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 301.2172,m/z 301.2172,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 275.2377,m/z 275.2377,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 257.2272,m/z 257.2272,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 229.1960,m/z 229.1960,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 208.1104,m/z 208.1104,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 179.1076,m/z 179.1076,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 163.1127,m/z 163.1127,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 135.1179,m/z 135.1179,%,-1,,0,0,0,0,0,0,0
12-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 309.2674,m/z 309.2674,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 283.2879,m/z 283.2879,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 265.2774,m/z 265.2774,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 237.2462,m/z 237.2462,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 214.1481,m/z 214.1481,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 184.1390,m/z 184.1390,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 169.1504,m/z 169.1504,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 140.1493,m/z 140.1493,%,-1,,0,0,0,0,0,0,0
12-HETE{d8},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 261.1858,m/z 261.1858,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 235.2066,m/z 235.2066,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 217.1959,m/z 217.1959,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 189.1648,m/z 189.1648,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 179.1077,m/z 179.1077,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 163.1491,m/z 163.1491,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 135.1179,m/z 135.1179,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 113.0971,m/z 113.0971,%,-1,,0,0,0,0,0,0,0
12-HHTrE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 299.2016,m/z 299.2016,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 273.2223,m/z 273.2223,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 219.1753,m/z 219.1753,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 179.1440,m/z 179.1440,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 163.0763,m/z 163.0763,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 153.1284,m/z 153.1284,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 137.0971,m/z 137.0971,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 107.0866,m/z 107.0866,%,-1,,0,0,0,0,0,0,0
12-OxoETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
13-HODE,m/z 277.2169,m/z 277.2169,%,-1,,0,0,0,0,0,0,0
13-HODE,m/z 276.2106,m/z 276.2106,%,-1,,0,0,0,0,0,0,0
13-HODE,m/z 195.1388,m/z 195.1388,%,-1,,0,0,0,0,0,0,0
13-HODE,m/z 113.0970,m/z 113.0970,%,-1,,0,0,0,0,0,0,0
13-HODE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
13-HODE{d4},m/z 281.2420,m/z 281.2420,%,-1,,0,0,0,0,0,0,0
13-HODE{d4},m/z 280.2357,m/z 280.2357,%,-1,,0,0,0,0,0,0,0
13-HODE{d4},m/z 198.1576,m/z 198.1576,%,-1,,0,0,0,0,0,0,0
13-HODE{d4},m/z 114.1033,m/z 114.1033,%,-1,,0,0,0,0,0,0,0
13-HODE{d4},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 275.2014,m/z 275.2014,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 256.1315,m/z 256.1315,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 225.1496,m/z 225.1496,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 223.1338,m/z 223.1338,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 197.1546,m/z 197.1546,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 195.1388,m/z 195.1388,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 179.1440,m/z 179.1440,%,-1,,0,0,0,0,0,0,0
13-HOTrE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 301.2172,m/z 301.2172,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 275.2378,m/z 275.2378,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 219.1388,m/z 219.1388,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 203.1805,m/z 203.1805,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 175.1490,m/z 175.1490,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 139.1127,m/z 139.1127,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 113.0971,m/z 113.0971,%,-1,,0,0,0,0,0,0,0
14(15)-EET,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 312.2862,m/z 312.2862,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 286.3068,m/z 286.3068,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 268.2963,m/z 268.2963,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 219.1388,m/z 219.1388,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 214.2495,m/z 214.2495,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 175.1490,m/z 175.1490,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 150.1817,m/z 150.1817,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 124.1661,m/z 124.1661,%,-1,,0,0,0,0,0,0,0
14(15)-EET{d11},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 299.2015,m/z 299.2015,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 273.2223,m/z 273.2223,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 255.2116,m/z 255.2116,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 248.1416,m/z 248.1416,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 219.1389,m/z 219.1389,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 207.1389,m/z 207.1389,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 175.1490,m/z 175.1490,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 121.0658,m/z 121.0658,%,-1,,0,0,0,0,0,0,0
14(15)-EpETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 319.2280,m/z 319.2280,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 257.2277,m/z 257.2277,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 207.1392,m/z 207.1392,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 163.1495,m/z 163.1495,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 129.0923,m/z 129.0923,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 99.0816,m/z 99.0816,%,-1,,0,0,0,0,0,0,0
"14,15-DHET",m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 330.2970,m/z 330.2970,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 268.2967,m/z 268.2967,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 207.1392,m/z 207.1392,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 163.1495,m/z 163.1495,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 140.1613,m/z 140.1613,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 109.1444,m/z 109.1444,%,-1,,0,0,0,0,0,0,0
"14,15-DHET{d11}",m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 297.1859,m/z 297.1859,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 271.2067,m/z 271.2067,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 243.1752,m/z 243.1752,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 203.1443,m/z 203.1443,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 158.0737,m/z 158.0737,%,-1,,0,0,0,0,0,0,0
15d-PGJ2,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 301.2110,m/z 301.2110,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 275.2318,m/z 275.2318,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 245.1878,m/z 245.1878,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 203.1443,m/z 203.1443,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 161.0925,m/z 161.0925,%,-1,,0,0,0,0,0,0,0
15d-PGJ2{d4},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 299.2017,m/z 299.2017,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 255.2119,m/z 255.2119,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 248.1419,m/z 248.1419,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 219.1392,m/z 219.1392,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 175.1493,m/z 175.1493,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 147.1180,m/z 147.1180,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 121.1024,m/z 121.1024,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 111.0817,m/z 111.0817,%,-1,,0,0,0,0,0,0,0
15-HEPE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 301.2171,m/z 301.2171,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 275.2378,m/z 275.2378,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 257.2273,m/z 257.2273,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 219.1390,m/z 219.1390,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 203.1804,m/z 203.1804,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 175.1491,m/z 175.1491,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 113.0971,m/z 113.0971,%,-1,,0,0,0,0,0,0,0
15-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 309.2673,m/z 309.2673,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 283.2880,m/z 283.2880,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 265.2775,m/z 265.2775,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 226.1829,m/z 226.1829,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 210.2243,m/z 210.2243,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 182.1930,m/z 182.1930,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 114.1034,m/z 114.1034,%,-1,,0,0,0,0,0,0,0
15-HETE{d8},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 325.2172,m/z 325.2172,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 299.2378,m/z 299.2378,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 281.2274,m/z 281.2274,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 261.1493,m/z 261.1493,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 233.1546,m/z 233.1546,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 189.1648,m/z 189.1648,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 135.1179,m/z 135.1179,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 125.0971,m/z 125.0971,%,-1,,0,0,0,0,0,0,0
16-HDoHE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 301.2171,m/z 301.2171,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 275.2380,m/z 275.2380,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 257.2274,m/z 257.2274,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 233.1546,m/z 233.1546,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 203.1805,m/z 203.1805,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 189.1649,m/z 189.1649,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 135.1180,m/z 135.1180,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 99.0816,m/z 99.0816,%,-1,,0,0,0,0,0,0,0
16-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 299.2018,m/z 299.2018,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 273.2224,m/z 273.2224,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 259.1704,m/z 259.1704,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 255.2120,m/z 255.2120,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 215.1806,m/z 215.1806,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 201.1651,m/z 201.1651,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 161.1337,m/z 161.1337,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 71.0501,m/z 71.0501,%,-1,,0,0,0,0,0,0,0
18-HEPE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 301.2174,m/z 301.2174,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 257.2277,m/z 257.2277,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 219.1755,m/z 219.1755,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 203.1809,m/z 203.1809,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 191.1807,m/z 191.1807,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 163.1494,m/z 163.1494,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 115.0402,m/z 115.0402,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 83.0503,m/z 83.0503,%,-1,,0,0,0,0,0,0,0
5(6)-EET,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 312.2864,m/z 312.2864,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 268.2967,m/z 268.2967,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 230.2445,m/z 230.2445,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 214.2499,m/z 214.2499,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 202.2497,m/z 202.2497,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 174.2184,m/z 174.2184,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 115.0402,m/z 115.0402,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 83.0503,m/z 83.0503,%,-1,,0,0,0,0,0,0,0
5(6)-EET{d11},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 317.2119,m/z 317.2119,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 273.2223,m/z 273.2223,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 195.1025,m/z 195.1025,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 181.0869,m/z 181.0869,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 151.1128,m/z 151.1128,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 129.0557,m/z 129.0557,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 123.0815,m/z 123.0815,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 71.0136,m/z 71.0136,%,-1,,0,0,0,0,0,0,0
"5,12-DiHETE",m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 333.2070,m/z 333.2070,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 289.2173,m/z 289.2173,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 271.2067,m/z 271.2067,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 235.1703,m/z 235.1703,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 217.1597,m/z 217.1597,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 189.1284,m/z 189.1284,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 135.0815,m/z 135.0815,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 115.0400,m/z 115.0400,%,-1,,0,0,0,0,0,0,0
"5,6,15-LXA4",m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 317.2119,m/z 317.2119,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 273.2224,m/z 273.2224,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 219.1753,m/z 219.1753,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 189.1648,m/z 189.1648,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 163.1492,m/z 163.1492,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 145.0505,m/z 145.0505,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 115.0400,m/z 115.0400,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 69.0342,m/z 69.0342,%,-1,,0,0,0,0,0,0,0
"5,6-DiHETE",m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 299.2017,m/z 299.2017,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 255.2119,m/z 255.2119,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 201.1651,m/z 201.1651,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 163.1494,m/z 163.1494,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 121.1023,m/z 121.1023,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 115.0402,m/z 115.0402,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 93.0711,m/z 93.0711,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 71.0137,m/z 71.0137,%,-1,,0,0,0,0,0,0,0
5-HEPE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5-HETE,m/z 301.2173,m/z 301.2173,%,-1,,0,0,0,0,0,0,0
5-HETE,m/z 257.2275,m/z 257.2275,%,-1,,0,0,0,0,0,0,0
5-HETE,m/z 203.1807,m/z 203.1807,%,-1,,0,0,0,0,0,0,0
5-HETE,m/z 115.0402,m/z 115.0402,%,-1,,0,0,0,0,0,0,0
5-HETE,m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5-HETE{d8},m/z 309.2675,m/z 309.2675,%,-1,,0,0,0,0,0,0,0
5-HETE{d8},m/z 265.2777,m/z 265.2777,%,-1,,0,0,0,0,0,0,0
5-HETE{d8},m/z 210.2246,m/z 210.2246,%,-1,,0,0,0,0,0,0,0
5-HETE{d8},m/z 116.0465,m/z 116.0465,%,-1,,0,0,0,0,0,0,0
5-HETE{d8},m/z 59.0139,m/z 59.0139,%,-1,,0,0,0,0,0,0,0
5-HpETE,m/z 317.2119,m/z 317.2119,%,-1,,0,0,0,0,0,0,0
5-HpETE,m/z 299.2016,m/z 299.2016,%,-1,,0,0,0,0,0,0,0
5-HpETE,m/z 273.2223,m/z 273.2223,%,-1,,0,0,0,0,0,0,0
